Entry Time Temperature CO* OH* OH CO2
158 1.5700000000000012E+00 1.0021500000000001E+00 0 0 2500 0
159 1.5800000000000012E+00 1.0021000000000000E+00 0 0 2500 0
160 1.5900000000000012E+00 1.0020500000000001E+00 0 0 2500 0
161 1.6000000000000012E+00 1.0020000000000000E+00 0 0 2500 0
162 1.6100000000000012E+00 1.0019499999999999E+00 0 0 2500 0
163 1.6200000000000012E+00 1.0019000000000000E+00 0 0 2500 0
164 1.6300000000000012E+00 1.0018499999999999E+00 0 0 2500 0
165 1.6400000000000012E+00 1.0018000000000000E+00 0 0 2500 0
166 1.6500000000000012E+00 1.0017499999999999E+00 0 0 2500 0
167 1.6600000000000013E+00 1.0017000000000000E+00 0 0 2500 0
168 1.6700000000000013E+00 1.0016499999999999E+00 0 0 2500 0
169 1.6800000000000013E+00 1.0016000000000000E+00 0 0 2500 0
170 1.6900000000000013E+00 1.0015499999999999E+00 0 0 2500 0
171 1.7000000000000013E+00 1.0015000000000001E+00 0 0 2500 0
172 1.7100000000000013E+00 1.0014500000000000E+00 0 0 2500 0
173 1.7200000000000013E+00 1.0014000000000001E+00 0 0 2500 0
174 1.7300000000000013E+00 1.0013500000000000E+00 0 0 2500 0
175 1.7400000000000013E+00 1.0013000000000001E+00 0 0 2500 0
176 1.7500000000000013E+00 1.0012500000000000E+00 0 0 2500 0
177 1.7600000000000013E+00 1.0012000000000001E+00 0 0 2500 0
178 1.7700000000000014E+00 1.0011500000000000E+00 0 0 2500 0
179 1.7800000000000014E+00 1.0011000000000001E+00 0 0 2500 0
180 1.7900000000000014E+00 1.0010500000000000E+00 0 0 2500 0
181 1.8000000000000014E+00 1.0010000000000001E+00 0 0 2500 0
182 1.8100000000000014E+00 1.0009500000000000E+00 0 0 2500 0
183 1.8200000000000014E+00 1.0008999999999999E+00 0 0 2500 0
184 1.8300000000000014E+00 1.0008500000000000E+00 0 0 2500 0
185 1.8400000000000014E+00 1.0007999999999999E+00 0 0 2500 0
186 1.8500000000000014E+00 1.0007500000000000E+00 0 0 2500 0
187 1.8600000000000014E+00 1.0006999999999999E+00 0 0 2500 0
188 1.8700000000000014E+00 1.0006500000000000E+00 0 0 2500 0
189 1.8800000000000014E+00 1.0005999999999999E+00 0 0 2500 0
190 1.8900000000000015E+00 1.0005500000000001E+00 0 0 2500 0
191 1.9000000000000015E+00 1.0004999999999999E+00 0 0 2500 0
192 1.9100000000000015E+00 1.0004500000000001E+00 0 0 2500 0
193 1.9200000000000015E+00 1.0004000000000000E+00 0 0 2500 0
